Atlanti's Project Engine Memory Tracker - 0.1A
----------------------------------------------

Logging...


Reporting Leaks...
[inc/Map.h]{Pair}(45) 20 bytes leak in adress 0x3deb44.
[inc/Map.h]{Pair}(39) 20 bytes leak in adress 0x3dec44.
[inc/Array.h]{reserve}(186) 89 bytes leak in adress 0x3df870.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfbc0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfbd0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfbe0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfbf0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfc00.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfc10.
[inc/List.h]{Node}(40) 4 bytes leak in adress 0x3dfc20.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfc30.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfc40.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfc50.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfc60.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfc70.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfc80.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfc90.
[inc/List.h]{Node}(40) 4 bytes leak in adress 0x3dfca0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfcb0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfcc0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfcd0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfce0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfcf0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfd00.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfd10.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfd20.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfd30.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfd40.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfd60.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfd70.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfd90.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfda0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfdb0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfdc0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfdd0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfde0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfdf0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfe10.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfe20.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfe30.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfe40.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfe50.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfe60.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfe70.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfe90.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfea0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfeb0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfec0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dfed0.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dff00.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dff10.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dff20.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dff30.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dff40.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dff50.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dff60.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dff70.
[inc/Array.h]{reserve}(186) 1 bytes leak in adress 0x3dff80.
